汕头,#genre#
汕头综合, http://120.77.205.62:8087/rtp/239.253.43.30:5146
汕头经济, http://120.77.205.62:8087/rtp/239.253.43.43:5146
汕头文旅, http://120.77.205.62:8087/rtp/239.253.43.47:5146
汕头综合电信,http://113.109.250.108:9999/udp/239.77.1.130:5146
汕头经济电信,http://113.109.250.108:9999/udp/239.77.1.131:5146
汕头文旅电信,http://113.109.250.108:9999/udp/239.77.1.132:5146
汕头综合频道,http://211.97.63.3:801/hls/81/index.m3u8
汕头经济频道,http://211.97.63.3:801/hls/82/index.m3u8
汕头体育频道,http://211.97.63.3:801/hls/80/index.m3u8
汕头一台梅州,http://1b6467f415.iok.la:9931/tsfile/live/1131_1.m3u8
汕头二台梅州,http://1b6467f415.iok.la:9931/tsfile/live/1132_1.m3u8
汕头三台梅州,http://1b6467f415.iok.la:9931/tsfile/live/1133_1.m3u8
汕头经济生活,http://27.25.159.105:18000/url/api.php?id=87792&tk=a08069f77d023a2f26
汕头经济生活,http://27.25.159.105:18000/url/api.php?id=19396&tk=a08069f77d023a2f26
汕头文旅体育,http://27.25.159.105:18000/url/api.php?id=67983&tk=a08069f77d023a2f26
汕头文旅体育,http://27.25.159.105:18000/url/api.php?id=86657&tk=a08069f77d023a2f26
汕头综合,http://27.25.159.105:18000/url/api.php?id=64115&tk=a08069f77d023a2f26
汕头综合,http://27.25.159.105:18000/url/api.php?id=44124&tk=a08069f77d023a2f26
[BD]汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
[BD]汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
[BD]汕头综合[geo-blocked],https://stream1.freetv.fun/shan-tou-zong-he-8.ctv
[BD]汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
[BD]汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-8.ctv
汕头文旅,http://113.109.250.108:9999/udp/239.77.1.132:5146
汕头经济,http://113.109.250.108:9999/udp/239.77.1.131:5146
汕头综合,http://113.109.250.108:9999/udp/239.77.1.130:5146
汕头综合,http://113.75.183.78:2086/udp/239.253.43.30:5146
汕头综合高清,http://113.75.183.78:2086/udp/239.77.1.130:5146
汕头综合高清,http://113.75.183.78:2086/udp/239.253.43.45:5146
汕头经济生活,http://113.75.183.78:2086/udp/239.253.43.43:5146
汕头经济生活高清,http://113.75.183.78:2086/udp/239.77.1.131:5146
汕头经济生活高清,http://113.75.183.78:2086/udp/239.253.43.46:5146
汕头文旅体育,http://113.75.183.78:2086/udp/239.253.43.44:5146
汕头文旅体育高清,http://113.75.183.78:2086/udp/239.77.1.132:5146
汕头文旅体育高清,http://113.75.183.78:2086/udp/239.253.43.47:5146
汕头综合,http://113.109.250.108:9999/udp/239.77.1.130:5146$LR•IPV4『线路1』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-12.ctv$LR•IPV4『线路2』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-10.ctv$LR•IPV4『线路3』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-2.ctv$LR•IPV4『线路4』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-4.ctv$LR•IPV4『线路5』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-11.ctv$LR•IPV4『线路6』
汕头综合,http://61.146.189.78:8000/udp/239.77.1.130:5146$LR•IPV4『线路7』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-1.ctv$LR•IPV4『线路8』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-7.ctv$LR•IPV4『线路9』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-9.ctv$LR•IPV4『线路10』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-14.ctv$LR•IPV4『线路11』
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2eaebe&tk=822270345d4c$LR•IPV4『线路12』
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.30:5146$LR•IPV4『线路13』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-5.ctv$LR•IPV4『线路14』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-8.ctv$LR•IPV4『线路15』
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8978&tk=a0c4f6cfaba3$LR•IPV4『线路16』
汕头综合,http://125.89.163.44:8888/udp/239.77.1.130:5146$LR•IPV4『线路17』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-3.ctv$LR•IPV4『线路18』
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7310&tk=a0c4f6cfaba3$LR•IPV4『线路19』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-13.ctv$LR•IPV4『线路20』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-17.ctv$LR•IPV4『线路21』
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=572621&tk=822270345d4c$LR•IPV4『线路22』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-18.ctv$LR•IPV4『线路23』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-6.ctv$LR•IPV4『线路24』
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-15.ctv$LR•IPV4『线路25』
汕头文旅体育,http://www.zzlag.top:9087/tsfile/live/1004_1.m3u8?key=txiptv$LR•IPV4
汕头文旅,http://125.89.163.44:8888/udp/239.77.1.132:5146
汕头文旅,http://113.109.250.108:9999/udp/239.77.1.132:5146
汕头经济,http://113.109.250.108:9999/udp/239.77.1.131:5146
汕头经济,http://125.89.163.44:8888/udp/239.77.1.131:5146
汕头综合,http://125.89.163.44:8888/udp/239.77.1.130:5146
